time_agent_get_action,time_env_step,append_memory,time_train_model,time_one_episode_step
4.88758087158e-05,0.218038082123,4.05311584473e-06,9.53674316406e-07,14.693767786
0.000107049942017,0.195766925812,5.00679016113e-06,9.53674316406e-07,14.8896918297
2.40802764893e-05,0.195481061935,3.81469726562e-06,1.19209289551e-06,15.085244894
0.000108957290649,0.205672025681,5.96046447754e-06,2.14576721191e-06,15.2910778522
1.90734863281e-05,0.195767879486,2.86102294922e-06,1.19209289551e-06,15.4869749546
2.40802764893e-05,0.225764989853,4.05311584473e-06,9.53674316406e-07,15.7128038406
2.8133392334e-05,0.201030015945,3.09944152832e-06,9.53674316406e-07,15.9139018059
0.000102996826172,0.195199012756,4.05311584473e-06,1.90734863281e-06,16.1092479229
0.000102043151855,0.196127891541,6.19888305664e-06,9.53674316406e-07,16.3055169582
9.58442687988e-05,0.205221176147,4.05311584473e-06,9.53674316406e-07,16.5108678341
1.50203704834e-05,0.19647693634,4.05311584473e-06,9.53674316406e-07,16.7073938847
1.90734863281e-05,0.205492019653,4.05311584473e-06,9.53674316406e-07,16.9130439758
1.59740447998e-05,0.196111917496,5.00679016113e-06,9.53674316406e-07,17.1092169285
6.38961791992e-05,0.205941915512,4.05311584473e-06,9.53674316406e-07,17.3152649403
2.59876251221e-05,0.196255207062,3.81469726562e-06,9.53674316406e-07,17.5116629601
1.78813934326e-05,0.195693969727,4.05311584473e-06,2.14576721191e-06,17.7074198723
1.59740447998e-05,0.206151008606,4.05311584473e-06,9.53674316406e-07,17.9136269093
9.89437103271e-05,0.196641921997,5.00679016113e-06,9.53674316406e-07,18.1104168892
2.21729278564e-05,0.20566701889,4.05311584473e-06,9.53674316406e-07,18.3161489964
1.50203704834e-05,0.196525812149,5.00679016113e-06,9.53674316406e-07,18.5127329826
1.90734863281e-05,0.196047067642,4.05311584473e-06,9.53674316406e-07,18.7088429928
2.78949737549e-05,0.205193996429,3.81469726562e-06,1.90734863281e-06,18.914110899
1.90734863281e-05,0.19552898407,3.09944152832e-06,9.53674316406e-07,19.109692812
1.31130218506e-05,0.205609798431,3.81469726562e-06,1.19209289551e-06,19.3153557777
1.38282775879e-05,0.195662975311,2.86102294922e-06,9.53674316406e-07,19.5110759735
0.000124931335449,0.205677032471,3.09944152832e-06,9.53674316406e-07,19.7169129848
1.50203704834e-05,0.195884943008,2.86102294922e-06,2.14576721191e-06,19.91284585
1.50203704834e-05,0.205678939819,4.05311584473e-06,2.86102294922e-06,20.1185817719
0.000125885009766,0.19585108757,4.05311584473e-06,9.53674316406e-07,20.3145978451
3.00407409668e-05,0.196046113968,3.81469726562e-06,1.19209289551e-06,20.5107069016
1.50203704834e-05,0.205943107605,2.86102294922e-06,9.53674316406e-07,20.7167048454
2.8133392334e-05,0.195212841034,4.05311584473e-06,9.53674316406e-07,20.9119858742
4.81605529785e-05,0.205744981766,5.00679016113e-06,9.53674316406e-07,21.1178197861
0.000101804733276,0.195739030838,4.05311584473e-06,1.90734863281e-06,21.3136949539
1.50203704834e-05,0.206256866455,5.96046447754e-06,2.14576721191e-06,21.5200109482
2.21729278564e-05,0.196027040482,4.05311584473e-06,9.53674316406e-07,21.7160978317
1.4066696167e-05,0.205333948135,3.09944152832e-06,9.53674316406e-07,21.9214777946
1.4066696167e-05,0.195590019226,4.05311584473e-06,9.53674316406e-07,22.1171188354
9.10758972168e-05,0.196192979813,4.05311584473e-06,9.53674316406e-07,22.3134419918
1.59740447998e-05,0.207024097443,5.96046447754e-06,9.53674316406e-07,22.5205278397
2.09808349609e-05,0.196455955505,4.05311584473e-06,9.53674316406e-07,22.717042923
1.4066696167e-05,0.205255031586,2.86102294922e-06,1.19209289551e-06,22.922344923
1.38282775879e-05,0.196269035339,4.05311584473e-06,0.0,23.1186659336
0.000135898590088,0.195707798004,2.86102294922e-06,3.09944152832e-06,23.3145489693
0.000133037567139,0.206086874008,4.05311584473e-06,9.53674316406e-07,23.5208058357
8.39233398438e-05,0.195379018784,4.05311584473e-06,1.90734863281e-06,23.7163088322
1.78813934326e-05,0.205718040466,4.05311584473e-06,9.53674316406e-07,23.9220838547
2.59876251221e-05,0.196222066879,5.00679016113e-06,5.00679016113e-06,24.1184518337
4.31537628174e-05,0.206411838531,2.86102294922e-06,2.14576721191e-06,24.3249487877
1.59740447998e-05,0.19638299942,5.00679016113e-06,1.19209289551e-06,24.5213999748
1.90734863281e-05,0.196329116821,5.00679016113e-06,9.53674316406e-07,24.7178208828
2.40802764893e-05,0.206311941147,6.19888305664e-06,9.53674316406e-07,24.9242758751
0.000105142593384,0.196517944336,4.05311584473e-06,9.53674316406e-07,25.1209368706
1.59740447998e-05,0.206241130829,5.00679016113e-06,1.90734863281e-06,25.3272378445
2.09808349609e-05,0.196007013321,4.05311584473e-06,9.53674316406e-07,25.5233039856
1.38282775879e-05,0.205376148224,2.86102294922e-06,1.19209289551e-06,25.7287259102
1.69277191162e-05,0.205694913864,3.81469726562e-06,9.53674316406e-07,25.934470892
1.4066696167e-05,0.196585893631,8.10623168945e-06,1.90734863281e-06,26.1311237812
0.000108957290649,0.19590306282,2.86102294922e-06,9.53674316406e-07,26.3271758556
1.50203704834e-05,0.195306062698,2.86102294922e-06,2.14576721191e-06,26.5225348473
0.000105857849121,0.206373214722,2.86102294922e-06,9.53674316406e-07,26.7290718555
9.79900360107e-05,0.195327997208,3.81469726562e-06,1.19209289551e-06,26.9245388508
9.08374786377e-05,0.205888986588,5.00679016113e-06,1.19209289551e-06,27.1305608749
1.69277191162e-05,0.195605039597,4.05311584473e-06,0.457864999771,27.7840998173
0.000106811523438,0.145493984222,4.05311584473e-06,0.0424089431763,27.9721679688
2.28881835938e-05,0.157025098801,5.00679016113e-06,0.0435409545898,28.1729187965
1.4066696167e-05,0.155903100967,4.05311584473e-06,0.0437619686127,28.3726449013
1.59740447998e-05,0.155501127243,3.81469726562e-06,0.0410220623016,28.5692248344
1.4066696167e-05,0.165578126907,3.81469726562e-06,0.0413920879364,28.7762498856
1.4066696167e-05,0.155324935913,4.05311584473e-06,0.0421800613403,28.9738099575
1.31130218506e-05,0.155700922012,5.00679016113e-06,0.0425488948822,29.172110796
1.31130218506e-05,0.156198978424,3.09944152832e-06,0.041491985321,29.369866848
1.90734863281e-05,0.165645837784,4.05311584473e-06,0.0410361289978,29.5767037868
2.31266021729e-05,0.156866788864,5.00679016113e-06,0.0452630519867,29.7789099216
1.97887420654e-05,0.155594110489,3.09944152832e-06,0.0431299209595,29.9776988029
1.28746032715e-05,0.155630111694,4.05311584473e-06,0.0426459312439,30.1760258675
1.78813934326e-05,0.155899047852,4.05311584473e-06,0.0410480499268,30.3730437756
2.40802764893e-05,0.166127920151,4.05311584473e-06,0.0408549308777,30.5800988674
1.38282775879e-05,0.155752182007,2.86102294922e-06,0.0411901473999,30.7770957947
9.91821289062e-05,0.158362865448,5.00679016113e-06,0.0425219535828,30.9781298637
2.00271606445e-05,0.156026124954,2.86102294922e-06,0.0422530174255,31.1764760017
1.4066696167e-05,0.155988931656,3.09944152832e-06,0.0420880317688,31.3746049404
1.8835067749e-05,0.165874958038,4.05311584473e-06,0.0423629283905,31.5829138756
1.81198120117e-05,0.15619301796,4.05311584473e-06,0.0403819084167,31.7795507908
1.50203704834e-05,0.155431032181,3.81469726562e-06,0.0418441295624,31.9768788815
1.38282775879e-05,0.155565023422,2.86102294922e-06,0.04185795784,32.1743547916
1.50203704834e-05,0.165997982025,4.05311584473e-06,0.0432908535004,32.3836979866
2.40802764893e-05,0.155472993851,4.05311584473e-06,0.0412430763245,32.5804798603
1.50203704834e-05,0.155597925186,5.00679016113e-06,0.0442430973053,32.780381918
0.000133991241455,0.155591964722,3.09944152832e-06,0.0410759449005,32.9772257805
1.59740447998e-05,0.165411949158,4.05311584473e-06,0.0413899421692,33.1840858459
1.59740447998e-05,0.155596971512,3.09944152832e-06,0.0422699451447,33.3820209503
2.00271606445e-05,0.155902147293,2.86102294922e-06,0.0407660007477,33.5787568092
1.4066696167e-05,0.155375957489,4.05311584473e-06,0.0416638851166,33.7758638859
0.000128030776978,0.165642976761,2.86102294922e-06,0.0410799980164,33.9827628136
2.00271606445e-05,0.155648946762,3.81469726562e-06,0.0407609939575,34.1792459488
0.000111818313599,0.165405988693,3.81469726562e-06,0.0420820713043,34.3868918419
1.50203704834e-05,0.155313014984,3.09944152832e-06,0.0411379337311,34.5833997726
1.50203704834e-05,0.155970096588,3.81469726562e-06,0.0422232151031,34.7816457748
1.4066696167e-05,0.156043052673,3.09944152832e-06,0.0419900417328,34.9797348976
1.50203704834e-05,0.16578412056,5.96046447754e-06,0.0444769859314,35.1900548935
1.59740447998e-05,0.155512094498,3.09944152832e-06,0.0408189296722,35.3864707947
1.4066696167e-05,0.156157970428,4.05311584473e-06,0.0466768741608,35.5893688202
2.31266021729e-05,0.156867980957,5.00679016113e-06,0.0435619354248,35.7898769379
1.8835067749e-05,0.16216301918,4.05311584473e-06,0.0521740913391,36.0042967796
4.48226928711e-05,0.208415031433,5.00679016113e-06,0.13746714592,36.3502738476
1.69277191162e-05,0.0861649513245,5.00679016113e-06,0.0475239753723,36.4840319157
0.000110864639282,0.145909070969,5.00679016113e-06,0.050940990448,36.6810488701
2.00271606445e-05,0.14618396759,2.86102294922e-06,0.0431070327759,36.8704068661
1.38282775879e-05,0.16579914093,4.05311584473e-06,0.0404028892517,37.0766618252
1.69277191162e-05,0.155502080917,4.05311584473e-06,0.0421040058136,37.274324894
1.78813934326e-05,0.155434131622,3.09944152832e-06,0.0423419475555,37.4722487926
1.50203704834e-05,0.165409088135,2.86102294922e-06,0.0449781417847,37.6826918125
2.19345092773e-05,0.145596027374,3.09944152832e-06,0.0417277812958,37.8700799942
1.90734863281e-05,0.165286064148,4.05311584473e-06,0.0441708564758,38.0795998573
1.31130218506e-05,0.155294895172,5.00679016113e-06,0.0496861934662,38.2846448421
2.21729278564e-05,0.145849943161,4.05311584473e-06,0.0437858104706,38.4743487835
1.28746032715e-05,0.155339002609,5.00679016113e-06,0.0457229614258,38.6754639149
1.4066696167e-05,0.155586957932,3.09944152832e-06,0.0525920391083,38.8837099075
0.000124931335449,0.147356033325,4.05311584473e-06,0.0401849746704,39.0714268684
1.31130218506e-05,0.165504932404,5.00679016113e-06,0.0406110286713,39.2775938511
1.4066696167e-05,0.155432939529,3.81469726562e-06,0.0407779216766,39.473856926
1.47819519043e-05,0.155779123306,4.05311584473e-06,0.0399248600006,39.6696147919
1.4066696167e-05,0.166140079498,4.76837158203e-06,0.0413970947266,39.8772058487
1.4066696167e-05,0.1555788517,4.05311584473e-06,0.0430810451508,40.0759248734
1.59740447998e-05,0.155523061752,5.00679016113e-06,0.0410318374634,40.2725408077
2.59876251221e-05,0.165271997452,2.86102294922e-06,0.0412449836731,40.4791259766
1.38282775879e-05,0.15572309494,5.00679016113e-06,0.0419020652771,40.6768159866
0.000114917755127,0.155555963516,5.00679016113e-06,0.0403380393982,40.8728759289
2.00271606445e-05,0.166402816772,6.91413879395e-06,0.0407090187073,41.0800578594
2.00271606445e-05,0.157171010971,5.00679016113e-06,0.0589911937714,41.2962989807
2.50339508057e-05,0.136252880096,4.05311584473e-06,0.0447590351105,41.4773819447
1.4066696167e-05,0.155488014221,3.09944152832e-06,0.0416879653931,41.6746118069
1.4066696167e-05,0.16548705101,3.81469726562e-06,0.0404407978058,41.8806018829
1.90734863281e-05,0.155673980713,4.05311584473e-06,0.0415649414062,42.0779139996
2.19345092773e-05,0.156258106232,5.00679016113e-06,0.0411839485168,42.2754268646
1.50203704834e-05,0.165488004684,3.81469726562e-06,0.0415060520172,42.4824728966
1.28746032715e-05,0.155476093292,4.05311584473e-06,0.0410008430481,42.6790018082
1.50203704834e-05,0.155277013779,3.81469726562e-06,0.0414211750031,42.8757519722
1.38282775879e-05,0.166326999664,5.00679016113e-06,0.0420241355896,43.0841569901
1.31130218506e-05,0.156013965607,4.05311584473e-06,0.0408658981323,43.2810928822
2.09808349609e-05,0.156965970993,3.09944152832e-06,0.0428109169006,43.4809308052
2.00271606445e-05,0.15546298027,4.05311584473e-06,0.0419719219208,43.6784358025
1.90734863281e-05,0.165474891663,5.00679016113e-06,0.0454771518707,43.8894479275
1.38282775879e-05,0.155844211578,5.00679016113e-06,0.0426177978516,44.0879688263
3.40938568115e-05,0.15562582016,4.05311584473e-06,0.0440399646759,44.287706852
1.31130218506e-05,0.155573129654,4.05311584473e-06,0.0406539440155,44.4839918613
2.00271606445e-05,0.15674996376,5.00679016113e-06,0.0402569770813,44.6810619831
1.4066696167e-05,0.165297031403,3.81469726562e-06,0.0411541461945,44.8875648975
1.50203704834e-05,0.155798912048,5.00679016113e-06,0.0412299633026,45.0846498013
1.4066696167e-05,0.155243873596,5.00679016113e-06,0.042130947113,45.2820959091
2.479553